frame,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,box_width,box_height,box_area
9,6,person,0.8681,0.19,861.46,117.36,1236.08,58.77,1048.77,117.17,374.62,43892.06
9,7,person,0.8311,164.6,248.42,278.48,548.61,221.54,398.52,113.88,300.19,34184.07
9,8,person,0.8281,836.86,952.58,999.92,1308.13,918.39,1130.35,163.06,355.55,57975.92
9,9,person,0.7683,582.26,100.12,694.83,371.54,638.55,235.83,112.57,271.43,30553.92
9,10,person,0.782,217.08,11.38,311.82,261.27,264.45,136.33,94.74,249.89,23674.39
9,11,person,0.8654,485.65,1523.8,684.4,1920.0,585.03,1721.9,198.75,396.2,78744.9
9,12,person,0.7881,754.1,324.34,843.46,581.7,798.78,453.02,89.36,257.37,22998.86
9,13,person,0.6074,32.58,0.09,110.04,221.1,71.31,110.6,77.46,221.01,17119.3
10,1,person,0.8725,111.74,866.48,257.11,1219.69,184.43,1043.09,145.37,353.21,51346.19
10,2,person,0.8854,500.31,483.05,650.88,806.92,575.59,644.98,150.57,323.87,48765.07
10,3,person,0.8733,666.83,1469.75,862.55,1887.98,764.69,1678.86,195.72,418.23,81854.15
10,4,person,0.8796,642.65,314.35,785.23,646.93,713.94,480.64,142.58,332.59,47420.74
10,5,person,0.8471,736.39,1033.95,871.04,1386.88,803.71,1210.42,134.65,352.93,47522.67
10,6,person,0.8426,0.22,869.64,118.35,1254.34,59.29,1061.99,118.13,384.7,45443.8
10,7,person,0.8444,165.03,251.39,279.61,549.73,222.32,400.56,114.59,298.34,34185.76
10,8,person,0.808,840.34,957.71,1002.13,1310.97,921.24,1134.34,161.8,353.26,57155.94
10,9,person,0.8091,582.35,101.72,695.13,372.49,638.74,237.11,112.78,270.76,30536.77
10,10,person,0.7729,217.93,12.85,313.6,262.58,265.76,137.72,95.67,249.73,23892.48
10,11,person,0.8506,496.18,1534.66,686.71,1920.0,591.44,1727.33,190.52,385.34,73417.53
10,12,person,0.7942,756.81,330.3,844.64,587.01,800.72,458.65,87.83,256.71,22545.79
10,13,person,0.6903,32.49,0.21,109.43,227.1,70.96,113.66,76.95,226.88,17457.87
11,1,person,0.8839,111.8,873.83,259.54,1238.59,185.67,1056.21,147.74,364.77,53890.74
11,2,person,0.8964,502.78,488.5,652.64,814.68,577.71,651.59,149.86,326.18,48880.99
11,3,person,0.909,671.16,1478.95,867.39,1901.05,769.27,1690.0,196.23,422.1,82830.96
11,4,person,0.8492,644.52,319.12,787.21,656.3,715.87,487.71,142.69,337.18,48112.42
11,5,person,0.8387,738.97,1040.25,873.73,1395.14,806.35,1217.7,134.76,354.9,47825.56
11,6,person,0.8493,0.29,877.11,118.99,1264.92,59.64,1071.01,118.7,387.81,46033.85
11,7,person,0.8615,166.09,254.26,279.82,551.47,222.96,402.87,113.73,297.21,33801.6
11,8,person,0.8132,843.53,962.39,1003.94,1311.09,923.73,1136.74,160.4,348.71,55934.23
11,9,person,0.8008,582.23,103.74,695.58,373.52,638.9,238.63,113.35,269.78,30581.07
11,10,person,0.7976,218.62,15.03,315.6,263.39,267.11,139.21,96.98,248.36,24086.4
11,11,person,0.872,505.45,1543.22,691.66,1920.0,598.55,1731.61,186.21,376.78,70158.89
11,12,person,0.7944,758.43,334.75,846.1,590.61,802.27,462.68,87.67,255.86,22431.15
11,13,person,0.7218,32.56,0.3,109.4,232.47,70.98,116.39,76.84,232.17,17840.67
11,16,person,0.5423,1.18,583.62,60.3,882.36,30.74,732.99,59.12,298.74,17662.25
12,1,person,0.8801,113.72,881.92,261.08,1249.54,187.4,1065.73,147.36,367.61,54170.98
12,2,person,0.8974,505.49,494.99,655.32,819.95,580.41,657.47,149.83,324.96,48688.48
12,3,person,0.8716,675.49,1485.66,869.76,1911.18,772.63,1698.42,194.27,425.52,82666.69
12,4,person,0.8528,646.73,324.99,788.45,657.54,717.59,491.26,141.73,332.54,47130.16
12,5,person,0.8511,741.95,1046.35,878.06,1398.76,810.0,1222.56,136.12,352.41,47968.63
12,6,person,0.868,0.52,885.97,119.66,1272.49,60.09,1079.23,119.14,386.52,46050.3
12,7,person,0.8463,167.01,258.48,280.64,552.29,223.82,405.38,113.63,293.81,33385.55
12,8,person,0.8651,846.89,966.12,1008.82,1311.41,927.85,1138.76,161.92,345.29,55910.84
12,9,person,0.7936,582.6,105.61,696.45,374.17,639.53,239.89,113.85,268.56,30576.75
12,10,person,0.7907,219.9,17.18,316.7,264.04,268.3,140.61,96.81,246.86,23897.42
12,11,person,0.8617,513.91,1551.32,691.9,1920.0,602.9,1735.66,177.99,368.68,65622.46
12,12,person,0.8235,759.35,338.64,848.48,593.79,803.92,466.21,89.14,255.15,22743.61
12,13,person,0.7326,32.85,0.48,109.13,236.99,70.99,118.74,76.28,236.51,18041.63
12,16,person,0.5299,1.37,585.67,61.87,895.97,31.62,740.82,60.5,310.3,18774.46
13,1,person,0.8867,115.15,890.99,262.58,1257.33,188.86,1074.16,147.43,366.34,54011.01
13,2,person,0.9085,508.16,500.97,658.58,828.71,583.37,664.84,150.42,327.74,49298.56
13,3,person,0.8453,680.88,1493.79,874.18,1913.05,777.53,1703.42,193.3,419.26,81043.98
