frame,track_id,center_x,center_y,box_area,confidence,time
402,13,362.25,1559.47,50531.82,0.8765,16.08
403,13,362.39,1561.66,50196.88,0.8771,16.12
404,13,362.77,1564.07,49622.49,0.8866,16.16
405,13,363.01,1567.42,48586.95,0.8901,16.2
406,13,362.92,1569.73,47714.49,0.8911,16.24
407,13,363.78,1572.58,47670.2,0.89,16.28
408,13,364.96,1576.16,47266.91,0.9007,16.32
409,13,365.97,1585.25,48643.92,0.9035,16.36
410,13,367.93,1597.22,50395.29,0.9009,16.4
411,13,370.3,1606.39,52258.02,0.8932,16.44
412,13,375.24,1615.16,54563.26,0.8906,16.48
413,13,377.99,1622.89,55363.61,0.89,16.52
414,13,380.32,1631.03,55652.62,0.8874,16.56
415,13,382.63,1639.81,55504.68,0.8853,16.6
416,13,384.38,1646.14,55003.29,0.8885,16.64
417,13,387.13,1651.43,54606.17,0.8932,16.68
418,13,389.83,1654.95,54077.74,0.8872,16.72
419,13,392.97,1657.84,53868.21,0.881,16.76
420,13,395.41,1659.69,52394.59,0.8721,16.8
421,13,397.78,1662.74,51568.24,0.8682,16.84
422,13,399.02,1666.05,50464.71,0.8687,16.88
423,13,401.23,1668.5,49795.15,0.876,16.92
424,13,403.19,1670.91,49653.63,0.8759,16.96
425,13,404.51,1676.92,49754.48,0.8833,17.0
426,13,406.17,1686.73,50971.3,0.8745,17.04
427,13,407.13,1698.38,52025.03,0.8814,17.08
428,13,408.92,1707.51,53591.66,0.8965,17.12
429,13,410.38,1714.45,54416.28,0.8995,17.16
430,13,411.95,1717.65,54134.3,0.8945,17.2
431,13,414.17,1720.59,53616.47,0.8858,17.24
432,13,415.44,1723.88,52633.48,0.8894,17.28
433,13,416.0,1727.35,51396.23,0.9082,17.32
434,13,417.26,1729.92,50714.21,0.9105,17.36
435,13,418.66,1732.29,50544.44,0.9061,17.4
436,13,420.38,1735.06,49820.89,0.9015,17.44
437,13,422.0,1737.12,49207.83,0.9007,17.48
438,13,424.07,1739.77,48657.29,0.9032,17.52
439,13,425.83,1742.34,48315.27,0.9034,17.56
440,13,427.62,1744.8,47521.55,0.9127,17.6
441,13,429.05,1747.19,47138.16,0.9199,17.64
442,13,430.75,1749.78,46848.44,0.9228,17.68
443,13,431.73,1751.3,46293.63,0.9206,17.72
444,13,433.4,1753.72,46186.45,0.9196,17.76
445,13,435.75,1756.2,45337.96,0.9058,17.8
446,13,437.19,1758.69,44580.01,0.8993,17.84
447,13,439.25,1761.5,43867.97,0.9015,17.88
448,13,441.38,1764.74,43158.42,0.9001,17.92
449,13,444.3,1767.92,42307.79,0.9083,17.96
450,13,447.12,1770.86,41326.2,0.9057,18.0
451,13,451.14,1774.17,40872.83,0.9149,18.04
452,13,454.94,1777.2,40345.34,0.9176,18.08
453,13,458.71,1780.08,39784.09,0.9133,18.12
454,13,462.7,1782.83,39059.73,0.9043,18.16
455,13,467.83,1785.65,38464.85,0.9007,18.2
456,13,471.91,1788.52,37732.69,0.9059,18.24
457,13,476.07,1791.85,37293.8,0.9006,18.28
458,13,479.46,1794.73,36564.68,0.9171,18.32
459,13,482.71,1797.56,36160.46,0.9185,18.36
460,13,486.12,1800.12,35569.55,0.9224,18.4
461,13,489.28,1802.68,34933.19,0.9206,18.44
462,13,491.73,1804.91,34255.91,0.9274,18.48
463,13,495.11,1807.89,33502.93,0.9115,18.52
464,13,498.28,1810.76,32705.56,0.9055,18.56
465,13,501.25,1813.8,31617.72,0.8999,18.6
466,13,504.08,1817.09,30560.98,0.8995,18.64
467,13,507.15,1819.98,29641.29,0.8972,18.68
468,13,510.22,1822.73,28806.73,0.8957,18.72
469,13,513.26,1826.34,27821.17,0.9013,18.76
470,13,515.95,1829.57,26770.81,0.8964,18.8
471,13,518.04,1830.09,25951.76,0.8831,18.84
472,13,521.54,1832.47,25416.78,0.9017,18.88
473,13,524.31,1833.28,24926.99,0.9029,18.92
474,13,527.71,1835.27,24397.59,0.9062,18.96
475,13,530.5,1837.33,23815.48,0.902,19.0
476,13,534.14,1839.61,23109.23,0.8986,19.04
477,13,537.69,1842.02,22422.57,0.8965,19.08
478,13,541.06,1844.29,21546.95,0.8924,19.12
479,13,544.33,1846.82,20833.85,0.8977,19.16
480,13,548.47,1849.34,20061.3,0.8948,19.2
481,13,552.71,1852.4,18791.11,0.8927,19.24
482,13,557.95,1855.22,17917.57,0.8749,19.28
483,13,563.74,1858.13,16938.38,0.8716,19.32
484,13,569.97,1861.94,16045.33,0.8661,19.36
485,13,577.7,1865.26,15463.65,0.8416,19.4
486,13,584.13,1867.86,14757.5,0.8151,19.44
487,13,590.51,1870.55,13786.96,0.8322,19.48
488,13,597.35,1872.7,12840.93,0.8099,19.52
489,13,602.99,1874.91,11772.26,0.7809,19.56
490,13,610.28,1877.18,10743.46,0.7777,19.6
491,13,617.02,1879.99,9613.37,0.5791,19.64
493,13,684.8,1885.43,15329.71,0.5606,19.72
495,13,709.38,1891.36,13281.86,0.6386,19.8
496,13,714.66,1894.57,11326.02,0.6178,19.84
